Low,Mid,High,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth
0.67,0.25,0.08,117.25373,367.99332,268.72018,757.0,10.0
0.65,0.27,0.08,121.543594,374.2716,286.64316,762.0,9.5
0.63,0.28,0.09,121.79365,376.27975,304.11887,767.0,14.25
0.62,0.27,0.11,123.736565,375.5864,321.3559,782.0,12.0
0.63,0.26,0.11,128.82805,381.58972,334.31955,791.5,9.0
0.62,0.26,0.12,129.5672,378.8782,351.25037,825.5,6.0
0.66,0.23,0.11,131.86993,394.74634,364.2366,859.5,3.0
0.68,0.22,0.1,138.00612,421.4621,379.56653,893.5,1.0
0.71,0.19,0.1,144.43546,440.29822,386.7454,927.5,5.0
0.73,0.17,0.1,151.5057,453.0098,394.6251,966.5,8.0
