Low,Mid,High,LowPercent,MidPercent,HighPercent,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth,Gini
140,83,27,0.56,0.332,0.108,116.51609,413.55185,411.96582,841.9737,4.0,52.22437098405863
142,83,25,0.568,0.332,0.1,120.55448,425.8607,422.4416,867.9737,3.0,52.040385165742926
148,79,23,0.592,0.316,0.092,124.38193,438.555,426.9669,893.9737,2.0,52.86293522630513
154,72,24,0.616,0.288,0.096,124.85287,449.9277,437.22815,919.9737,1.0,54.26788701292663
157,69,24,0.628,0.276,0.096,131.287,459.24353,446.57742,933.6853,0.0,53.71800868406718
161,64,25,0.644,0.256,0.1,128.56401,457.31964,443.72,938.8096,3.0,55.05785668836325
164,61,25,0.656,0.244,0.1,133.57704,468.06805,453.06494,946.96234,3.0,54.84732040484233
167,58,25,0.668,0.232,0.1,134.36647,473.3531,456.78735,957.57056,3.0,55.29480701460853
171,57,22,0.684,0.228,0.088,135.09702,486.6767,435.79684,969.9934,3.0,55.95660514691554
175,56,19,0.7,0.224,0.076,136.27354,501.91302,421.94168,991.9934,2.0,56.64133663987014
181,50,19,0.724,0.2,0.076,136.43983,503.5191,380.64313,991.3267,6.0,57.799479691289896
169,42,39,0.676,0.168,0.156,116.073616,364.3384,334.14658,792.8702,5.0,58.49747373614081
168,45,37,0.672,0.18,0.148,113.83783,361.07208,325.3828,800.9314,5.0,58.806239435180025
172,44,34,0.688,0.176,0.136,116.888695,372.96994,330.99905,820.0349,6.0,58.72125561440044
174,42,34,0.696,0.168,0.136,118.381165,366.27893,342.71744,824.22455,4.0,58.64251657238493
177,42,31,0.708,0.168,0.124,118.320786,372.4949,321.36365,826.7457,4.0,58.91282004237292
178,43,29,0.712,0.172,0.116,119.40289,378.7337,320.21844,836.2488,1.0,58.519902282339906
179,42,29,0.716,0.168,0.116,123.21372,381.2745,332.45157,842.2488,7.0,57.81656914915221
180,44,26,0.72,0.176,0.104,122.65371,381.98944,307.692,851.15015,3.0,57.52378702779243
190,38,22,0.76,0.152,0.088,122.57719,389.0393,306.5302,881.15015,3.0,58.39195689134795
178,49,23,0.712,0.196,0.092,114.180565,353.5163,285.79938,788.9806,2.3333335,57.41911925482783
180,47,23,0.72,0.188,0.092,118.231415,356.65173,291.98465,802.67285,8.0,56.51678784408433
183,47,20,0.732,0.188,0.08,116.436806,361.41968,281.1232,804.33954,2.0,56.92220521651689
185,48,17,0.74,0.192,0.068,117.504654,362.0034,281.71875,811.5784,3.0,56.331181564222796
188,47,15,0.752,0.188,0.06,121.77804,372.544,264.13068,824.6292,2.6362648,55.115012874844986
189,49,12,0.756,0.196,0.048,121.04815,365.05823,216.44835,817.43463,0.9695978,53.56080406764159
190,49,11,0.76,0.196,0.044,124.60604,369.5513,211.4627,826.6441,5.0,52.253455354300975
195,47,8,0.78,0.188,0.032,123.77708,367.63663,180.04918,831.501,11.921273,51.47196581488243
171,66,13,0.684,0.264,0.052,108.429665,305.11807,164.6197,638.0836,6.0,49.482559391894036
178,65,7,0.712,0.26,0.028,109.430984,309.93875,161.57828,658.8527,5.0,48.811186915001606
180,63,7,0.72,0.252,0.028,113.93278,315.19717,167.25443,674.771,4.0,48.12559389226953
180,62,8,0.72,0.248,0.032,117.65797,317.1147,171.31772,690.7054,12.916019,47.52150849642931
175,67,8,0.7,0.268,0.032,120.386795,320.33002,180.83223,701.00806,13.758877,46.799588008289
174,68,8,0.696,0.272,0.032,125.84354,328.97232,191.52478,713.6551,13.425598,45.927522521553335
168,73,9,0.672,0.292,0.036,127.4284,327.6613,200.7533,722.4146,11.758931,45.069917906628696
164,78,8,0.656,0.312,0.032,127.43605,327.46393,206.72673,729.28033,8.0,44.53212916012854
161,80,9,0.644,0.32,0.036,130.04779,328.59802,216.19368,735.6607,7.0,43.91320807332523
157,84,9,0.628,0.336,0.036,132.98734,332.1794,223.97191,742.10236,7.9540873,43.060410401667475
155,88,7,0.62,0.352,0.028,132.4216,334.27762,223.4445,746.1408,1.0,42.716131701885395
156,87,7,0.624,0.348,0.028,132.78862,335.6579,222.98468,751.7133,0.0,43.12261221135487
155,89,6,0.62,0.356,0.024,133.70874,340.87372,221.12471,758.361,1.2574921,43.077632814700344
153,90,7,0.612,0.36,0.028,137.50697,345.7954,230.39932,762.7099,0.7478552,42.550960441843934
149,94,7,0.596,0.376,0.028,139.18088,348.6666,239.14684,768.65125,0.19043541,42.1256613614437
147,94,9,0.588,0.376,0.036,134.96371,344.1161,236.8744,769.6258,5.597947,43.070521643465334
147,93,10,0.588,0.372,0.04,137.1673,347.18155,240.07248,774.2925,4.552477,42.93023243268545
148,91,11,0.592,0.364,0.044,132.95992,345.11627,243.02753,778.23395,2.346405,44.20331089353932
149,90,11,0.596,0.36,0.044,135.87372,351.87506,251.63666,784.2909,4.0,44.1622732422693
146,91,13,0.584,0.364,0.052,137.38399,353.18427,258.53796,787.5946,10.0,43.737950283160906
145,92,13,0.58,0.368,0.052,139.96324,358.7104,264.0989,789.6366,10.0,43.50318627142406
145,93,12,0.58,0.372,0.048,140.57681,363.64188,266.1744,793.57806,9.709606,43.60946050919302
147,91,12,0.588,0.364,0.048,142.43787,370.2645,273.8084,803.57806,7.9250526,44.07692087383476
148,91,11,0.592,0.364,0.044,145.75996,377.8522,264.06973,810.5017,5.36331,43.68203941922548
145,94,11,0.58,0.376,0.044,147.30418,380.69897,273.17813,816.55865,3.7271357,43.31556221356369
148,92,10,0.592,0.368,0.04,145.52486,386.5584,274.7909,830.55865,2.53379,44.55077817436541
152,88,10,0.608,0.352,0.04,148.2301,394.91116,277.5075,844.55865,6.0,45.00763552050922
151,89,10,0.604,0.356,0.04,148.38464,401.41296,286.1938,844.55865,10.446669,45.3817294563196
153,86,11,0.612,0.344,0.044,152.82465,406.5733,291.18872,857.4519,14.3654995,45.088559906827875
152,88,10,0.608,0.352,0.04,155.01535,411.8473,298.88412,876.1608,13.3654995,44.782056922878844
149,91,10,0.596,0.364,0.04,155.71304,411.96713,307.6596,883.1608,16.07206,44.397146397997865
160,81,9,0.64,0.324,0.036,161.41544,425.83154,309.5381,918.1608,10.0,45.282867861096754
162,79,9,0.648,0.316,0.036,159.08292,428.18533,311.3122,921.53375,12.0,46.340904083845096
162,78,10,0.648,0.312,0.04,158.07988,428.65326,312.13864,928.53375,5.0,46.98187649938337
162,79,9,0.648,0.316,0.036,161.56917,437.89923,314.24796,943.53375,5.0,46.821634894062306
163,79,8,0.652,0.316,0.032,161.47551,443.13623,314.75995,962.2427,9.250565,47.1589575100952
168,74,8,0.672,0.296,0.032,164.2659,459.35907,323.66977,989.2427,8.333333,48.15716468628671
176,70,4,0.704,0.28,0.016,165.82272,467.7219,289.75906,1036.2427,7.333333,48.32879329186836
175,70,5,0.7,0.28,0.02,160.99188,462.14243,285.1704,1041.0441,9.0,49.23903461617011
177,68,5,0.708,0.272,0.02,154.70578,456.58804,285.3005,1045.3774,8.060707,50.65194848667307
176,69,5,0.704,0.276,0.02,151.59068,455.0633,286.94357,1048.3478,8.0,51.14060008314846
177,69,4,0.708,0.276,0.016,150.27534,453.59042,275.65906,1048.1478,6.0,50.89180509694416
179,66,5,0.716,0.264,0.02,152.0577,452.9464,268.01248,1049.5479,3.0,50.881768245337305
153,83,14,0.612,0.332,0.056,115.95277,378.955,245.94699,777.25433,2.0,51.55845756301279
154,84,12,0.616,0.336,0.048,119.39733,390.4522,254.47665,791.5017,1.0,51.392851522788995
161,78,11,0.644,0.312,0.044,122.707054,396.71198,248.00502,822.5017,4.6560707,51.984749654082414
165,75,10,0.66,0.3,0.04,123.56351,402.17163,248.48651,829.5017,2.252411,52.655298613928615
171,71,8,0.684,0.284,0.032,126.44722,409.46973,233.24951,843.1978,1.7299423,52.92408091389735
174,68,8,0.696,0.272,0.032,131.19151,414.38403,241.36769,874.1978,3.0,52.42498408078246
179,64,7,0.716,0.256,0.028,130.7548,418.62048,223.85869,884.75836,6.086316,52.839124602855016
181,62,7,0.724,0.248,0.028,134.56126,427.79327,222.87045,899.00574,5.5199747,52.42876386449644
180,63,7,0.72,0.252,0.028,136.79529,427.44287,226.09402,912.70184,6.195944,51.71192325664743
157,68,25,0.628,0.272,0.1,116.22159,344.30698,211.49915,712.23126,8.844336,51.32421214107308
156,69,25,0.624,0.276,0.1,115.89375,343.03598,220.9602,717.76996,7.4518747,51.336383198373376
154,70,26,0.616,0.28,0.104,115.4739,335.98236,223.7213,720.76996,5.585965,50.841062252875425
159,66,25,0.636,0.264,0.1,116.47537,338.23227,227.89319,736.80646,3.792883,51.693142970107154
158,69,23,0.632,0.276,0.092,116.61846,339.68497,231.98738,744.16876,2.0,51.55437692273336
160,68,22,0.64,0.272,0.088,118.255104,338.75592,237.8283,756.16876,1.4088726,51.288643759398845
158,71,21,0.632,0.284,0.084,120.373,342.23004,245.28772,766.559,1.0,50.5053539314813
161,71,18,0.644,0.284,0.072,120.50907,345.47873,245.43361,776.1931,4.3415413,50.40440458070953
162,72,16,0.648,0.288,0.064,124.71501,353.29755,252.13025,788.1931,3.3415413,49.65165008256373
160,74,16,0.64,0.296,0.064,126.129715,355.12244,258.6333,787.8364,3.9980526,49.20292041874928
166,70,14,0.664,0.28,0.056,129.25955,362.55484,249.39702,793.76355,4.3313866,49.080618789535954
166,70,14,0.664,0.28,0.056,132.40805,367.5691,257.29395,801.4764,2.591761,48.678080299145215
170,65,15,0.68,0.26,0.06,132.37689,372.5091,260.90692,808.14307,1.469697,49.654191587762405
172,60,18,0.688,0.24,0.072,134.17586,369.12903,255.26987,807.3932,1.0,50.0590571466255
177,57,16,0.708,0.228,0.064,134.88992,371.7469,247.06844,807.08264,2.2762942,50.28630375138892
174,59,17,0.696,0.236,0.068,135.2127,369.8391,255.91696,814.26587,0.64278555,49.8957882166842
173,60,17,0.692,0.24,0.068,137.51967,367.94836,258.0281,823.2944,0.15207243,49.01528699399477
170,64,16,0.68,0.256,0.064,138.54637,371.74924,256.64032,835.2944,2.4681664,48.20507608633489
171,63,16,0.684,0.252,0.064,142.40222,375.8003,261.38312,847.2944,6.8369236,47.64929200621555
155,74,21,0.62,0.296,0.084,127.444016,336.3956,248.11586,732.83124,8.8,47.28850574152603
162,67,21,0.648,0.268,0.084,126.36081,337.3441,236.30067,748.91235,2.0,48.7907543002657
162,69,19,0.648,0.276,0.076,126.03358,343.2268,237.0853,759.24567,2.0,49.27630843830048
163,69,18,0.652,0.276,0.072,125.632355,345.90686,230.02344,761.33765,2.0,49.59519344817455
162,71,17,0.648,0.284,0.068,127.576546,351.7608,231.50378,763.3643,2.0,49.18017274516752
161,73,16,0.644,0.292,0.064,128.08472,353.76004,236.85019,765.25946,1.0532103,48.92660279985649
157,78,15,0.628,0.312,0.06,127.079285,352.76932,239.37459,770.853,0.05321026,48.46661118431245
159,79,12,0.636,0.316,0.048,131.0335,365.75793,245.90952,792.853,4.0,47.94664018417098
158,78,14,0.632,0.312,0.056,129.14186,359.17404,245.70798,777.5465,2.0,47.91958757767498
161,76,13,0.644,0.304,0.052,130.37239,363.8304,235.00684,792.5465,1.0,48.19805427583196
166,72,12,0.664,0.288,0.048,129.9717,372.95404,228.77988,801.9257,1.0,49.2432921745749
169,69,12,0.676,0.276,0.048,136.74377,386.8886,239.1024,812.6244,3.9956646,48.86838135100698
170,69,11,0.68,0.276,0.044,137.19531,386.88092,234.3256,822.7287,0.9956646,48.80344624651662
170,69,11,0.68,0.276,0.044,136.6685,390.13113,236.96255,830.3929,2.0,49.328171624343675
169,70,11,0.676,0.28,0.044,140.3243,393.05988,244.26913,845.3929,4.0,48.53176204160264
168,68,14,0.672,0.272,0.056,140.23479,388.52756,250.34702,857.0086,7.0,48.680944797539276
172,67,11,0.688,0.268,0.044,148.35538,406.93393,259.90775,888.0086,11.0,47.880009477608844
175,64,11,0.7,0.256,0.044,151.60786,414.62964,262.3971,919.0086,16.512033,48.05731021080283
177,62,11,0.708,0.248,0.044,153.10944,417.4405,254.13173,928.3878,7.0,48.08278582891945
179,61,10,0.716,0.244,0.04,156.07991,424.51428,251.37274,939.0865,4.0,47.91564664178441
180,60,10,0.72,0.24,0.04,159.29799,428.47452,257.81793,949.1908,11.0,47.55896279896843
179,61,10,0.716,0.244,0.04,159.24826,432.54715,262.09763,960.8065,14.0,48.003048157333986
185,56,9,0.74,0.224,0.036,161.15257,444.77716,253.30319,991.8065,14.0,48.67410086198651
186,56,8,0.744,0.224,0.032,161.84273,448.7756,254.97835,999.4707,14.0,48.801877067322486
186,57,7,0.744,0.228,0.028,163.19284,448.70386,250.93788,1009.575,14.0,48.332729593588745
185,58,7,0.74,0.232,0.028,166.69295,454.72604,258.148,1020.2737,22.0,47.74613500534907
192,52,6,0.768,0.208,0.024,174.71062,467.51614,252.49684,1059.2737,20.0,47.08189575790312
197,48,5,0.788,0.192,0.02,176.30774,485.9286,253.68492,1098.2737,9.0,48.135238275237505
198,47,5,0.792,0.188,0.02,179.55374,495.83505,258.92715,1107.653,7.0,48.234966914948025
199,47,4,0.796,0.188,0.016,183.18338,501.6432,255.96591,1118.3517,10.0,47.3857901866868
199,47,4,0.796,0.188,0.016,186.237,506.4575,260.80743,1128.4559,17.0,46.924929384345894
199,48,3,0.796,0.192,0.012,187.10849,516.41425,265.24454,1140.0717,17.656485,47.01961293542991
204,44,2,0.816,0.176,0.008,184.70927,529.8399,261.6022,1179.0717,4.0,48.560442516747564
205,43,2,0.82,0.172,0.008,183.62744,529.17554,262.788,1186.7358,3.8000002,48.826153621481346
205,43,2,0.82,0.172,0.008,184.53053,535.9234,265.95413,1196.8401,3.0,49.06528021476698
206,42,2,0.824,0.168,0.008,186.16243,539.45386,271.5286,1207.5388,4.084015,49.19272030212597
172,68,10,0.688,0.272,0.04,149.06728,425.79755,247.07265,924.2909,0.81385374,49.570673552990236
175,64,11,0.7,0.256,0.044,152.37494,428.3838,250.90242,929.2909,5.0,49.64497898608534
151,81,18,0.604,0.324,0.072,129.33853,370.79483,243.96925,803.4011,4.9486103,49.44583490194055
154,81,15,0.616,0.324,0.06,129.00383,377.7559,238.90883,808.1751,1.4856482,49.66207287453654
154,81,15,0.616,0.324,0.06,131.8993,381.3052,246.56038,817.1858,8.0,49.176235564649694
159,78,13,0.636,0.312,0.052,131.01614,387.49573,237.01523,822.1751,8.333333,49.58877499385563
162,75,13,0.648,0.3,0.052,132.94313,394.5677,228.31085,837.62354,8.666666,50.083036348776666
163,74,13,0.652,0.296,0.052,132.30994,395.0935,223.25426,843.489,6.0,50.546478714422854
164,74,12,0.656,0.296,0.048,132.83392,395.02188,217.09093,838.1481,4.685829,50.15684231538763
168,72,10,0.672,0.288,0.04,133.06238,399.23718,218.75885,842.304,3.6858292,50.47489098626102
168,70,12,0.672,0.28,0.048,132.59749,396.91867,223.09712,846.7223,3.0,50.81818443285375
164,74,12,0.656,0.296,0.048,125.76265,386.3688,218.77728,840.89026,2.0,51.10733617431834
165,75,10,0.66,0.3,0.04,126.88963,387.9701,218.99733,849.28925,2.2475066,50.83092375337947
167,72,11,0.668,0.288,0.044,127.1331,385.7519,220.48944,843.8079,4.6015816,50.96395719055
174,66,10,0.696,0.264,0.04,128.63306,391.87967,217.60902,860.8079,4.7315464,51.88685965870537
178,66,6,0.712,0.264,0.024,133.2213,410.6682,221.94028,893.8079,1.7315464,51.55348249592499
177,67,6,0.708,0.268,0.024,130.47668,414.57828,224.59119,903.65314,6.0,52.555148398183526
180,65,5,0.72,0.26,0.02,130.41026,417.43335,218.90742,915.767,3.0,53.053257651059546
185,59,6,0.74,0.236,0.024,134.65494,422.0216,224.2218,928.767,5.0,53.09934752123082
158,69,23,0.632,0.276,0.092,110.18116,332.86008,214.32587,693.29956,7.0,51.40539287833963
155,71,24,0.62,0.284,0.096,110.28384,330.66068,222.3712,693.28,2.0,50.94350337383731
154,70,26,0.616,0.28,0.104,110.7298,330.39536,230.95383,696.73987,3.0,50.89999933986474
156,71,23,0.624,0.284,0.092,113.58684,340.1732,234.04123,719.73987,2.0,50.63195162832563
159,71,20,0.636,0.284,0.08,117.74056,352.42255,238.48663,742.2493,1.0,50.26482450460754
161,69,20,0.644,0.276,0.08,121.44864,359.59247,245.10588,750.9045,4.0,50.09234257454228
162,68,20,0.648,0.272,0.08,121.99338,363.1276,249.08325,754.63617,6.0,50.35143583352329
163,67,20,0.652,0.268,0.08,124.51439,367.88968,258.39307,761.0292,7.0,50.31588013093279
168,65,17,0.672,0.26,0.068,121.65789,370.52292,254.90501,770.56934,5.0,51.628596046175524
169,64,17,0.676,0.256,0.068,124.59406,373.82684,252.27325,784.4391,4.0,51.330809382459854
168,65,17,0.672,0.26,0.068,126.810104,375.97903,260.60883,788.9883,9.0,50.92954390871456
166,67,17,0.664,0.268,0.068,126.75347,375.2583,263.45428,778.7757,10.171666,50.49998025425885
